shapeid,partid,x,y,Name
0,0,577353.8125,153538.75,100-H Area
0,0,577359.1875,153540.2656,100-H Area
0,0,577364.625,153541.4688,100-H Area
0,0,577369.6875,153542.2656,100-H Area
0,0,577372.5625,153542.6094,100-H Area
0,0,577377.6875,153542.9688,100-H Area
0,0,577379.4375,153543,100-H Area
0,0,577384.5625,153542.7656,100-H Area
0,0,577386.25,153542.5781,100-H Area
0,0,577391.3125,153541.7656,100-H Area
0,0,577393,153541.3906,100-H Area
0,0,577398,153539.9844,100-H Area
0,0,577399.5,153539.4688,100-H Area
0,0,577404.5,153537.4531,100-H Area
0,0,577405.4375,153537.0313,100-H Area
0,0,577410.3125,153534.6719,100-H Area
0,0,577411.1875,153534.2031,100-H Area
0,0,577415.875,153531.5156,100-H Area
0,0,577416.75,153530.9688,100-H Area
0,0,577421.25,153527.9844,100-H Area
0,0,577422.375,153527.1406,100-H Area
0,0,577442.75,153510.6094,100-H Area
0,0,577479.8125,153479.0313,100-H Area
0,0,577490.5625,153471.0781,100-H Area
0,0,577501.5,153462.5156,100-H Area
0,0,577512.25,153453.6875,100-H Area
0,0,577522.5,153444.7813,100-H Area
0,0,577538,153431.1563,100-H Area
0,0,577572.9375,153402.1875,100-H Area
0,0,577606,153374.4063,100-H Area
0,0,577620.4375,153362.2031,100-H Area
0,0,577636.875,153348.1719,100-H Area
0,0,577653,153334.2969,100-H Area
0,0,577667.3125,153321.8125,100-H Area
0,0,577680.3125,153310.5938,100-H Area
0,0,577707.4375,153287.9375,100-H Area
0,0,577732.375,153267.1094,100-H Area
0,0,577755.5625,153247.7188,100-H Area
0,0,577780.125,153227.3281,100-H Area
0,0,577809.6875,153202.4688,100-H Area
0,0,577813.5625,153199.1563,100-H Area
0,0,577824.75,153189.9375,100-H Area
0,0,577837.5,153178.875,100-H Area
0,0,577851,153166.0781,100-H Area
0,0,577864.25,153152.8594,100-H Area
0,0,577879.625,153136.6094,100-H Area
0,0,577900.125,153113.3906,100-H Area
0,0,577903.1875,153110,100-H Area
0,0,577940.625,153068.1563,100-H Area
0,0,577974.25,153026.7344,100-H Area
0,0,577998.1875,152994.625,100-H Area
0,0,578028.25,152949.9219,100-H Area
0,0,578047.5,152920.375,100-H Area
0,0,578070.3125,152885.3906,100-H Area
0,0,578094.3125,152848.2188,100-H Area
0,0,578118.4375,152810.8281,100-H Area
0,0,578142.0625,152774.4688,100-H Area
0,0,578145.5625,152768.5938,100-H Area
0,0,578149,152762.6875,100-H Area
0,0,578152.375,152756.75,100-H Area
0,0,578155.9375,152750.3438,100-H Area
0,0,578159.625,152742.8906,100-H Area
0,0,578163.25,152735.4063,100-H Area
0,0,578166.75,152727.8438,100-H Area
0,0,578170.1875,152720.1094,100-H Area
0,0,578188.4375,152676.0313,100-H Area
0,0,578206,152633.5938,100-H Area
0,0,578216.25,152607.8906,100-H Area
0,0,578217.125,152605.7344,100-H Area
0,0,578222.875,152591.875,100-H Area
0,0,578228.5625,152578.0156,100-H Area
0,0,578234.25,152564.1406,100-H Area
0,0,578240,152550.1406,100-H Area
0,0,578244.125,152539.75,100-H Area
0,0,578247.9375,152529.2656,100-H Area
0,0,578251.5,152518.6563,100-H Area
0,0,578254.75,152508.0625,100-H Area
0,0,578257.125,152499.6563,100-H Area
0,0,578259.3125,152491.2031,100-H Area
0,0,578261.3125,152482.7031,100-H Area
0,0,578263.125,152474.2031,100-H Area
0,0,578265.1875,152463.5156,100-H Area
0,0,578267,152452.7813,100-H Area
0,0,578268.5,152441.9844,100-H Area
0,0,578269.75,152431.2969,100-H Area
0,0,578270.6875,152421.7031,100-H Area
0,0,578271.4375,152412.0938,100-H Area
0,0,578272,152402.4688,100-H Area
0,0,578272.4375,152392.5,100-H Area
0,0,578272.5625,152357.5781,100-H Area
0,0,578272.8125,152313.2656,100-H Area
0,0,578272.875,152280.2344,100-H Area
0,0,578272.75,152237.5938,100-H Area
0,0,578273.125,152195.9375,100-H Area
0,0,578273.0625,152185.5938,100-H Area
0,0,578272.75,152175.2656,100-H Area
0,0,578272.1875,152164.9375,100-H Area
0,0,578271.3125,152154.4063,100-H Area
0,0,578269.5625,152140.0469,100-H Area
0,0,578267.0625,152125.7969,100-H Area
0,0,578263.8125,152111.7031,100-H Area
0,0,578259.9375,152098.1563,100-H Area
0,0,578259,152095.25,100-H Area
0,0,578255.3125,152084.125,100-H Area
0,0,578251.1875,152073.1406,100-H Area
0,0,578246.625,152062.3125,100-H Area
0,0,578241.6875,152051.6875,100-H Area
0,0,578236.9375,152042.4375,100-H Area
0,0,578232.0625,152033.2813,100-H Area
0,0,578227,152024.2031,100-H Area
0,0,578221.875,152015.4844,100-H Area
0,0,578210.5625,151995.875,100-H Area
0,0,578189.25,151958.5625,100-H Area
0,0,578170.4375,151925.6094,100-H Area
0,0,578153,151895,100-H Area
0,0,578132.1875,151858.3906,100-H Area
0,0,578110.0625,151819.8906,100-H Area
0,0,578100.1875,151802.375,100-H Area
0,0,578080.1875,151767.6094,100-H Area
0,0,578075.6875,151759.5938,100-H Area
0,0,578070.6875,151751.7656,100-H Area
0,0,578065.3125,151744.2188,100-H Area
0,0,578059.5625,151736.9531,100-H Area
0,0,578053.4375,151729.9844,100-H Area
0,0,578046.8125,151723.2031,100-H Area
0,0,578040.0625,151717.1406,100-H Area
0,0,578033,151711.4844,100-H Area
0,0,578025.625,151706.2188,100-H Area
0,0,578018,151701.3906,100-H Area
0,0,578010.0625,151696.9844,100-H Area
0,0,578002.1875,151693.1719,100-H Area
0,0,577993.4375,151689.2813,100-H Area
0,0,577992.375,151688.875,100-H Area
0,0,577983.375,151685.6563,100-H Area
0,0,577982.3125,151685.3125,100-H Area
0,0,577973.0625,151682.7969,100-H Area
0,0,577971.9375,151682.5313,100-H Area
0,0,577962.5625,151680.7031,100-H Area
0,0,577961.0625,151680.5,100-H Area
0,0,577950.25,151679.5,100-H Area
0,0,577939.375,151678.8438,100-H Area
0,0,577928.5,151678.5313,100-H Area
0,0,577918.125,151678.5313,100-H Area
0,0,577879.0625,151678.4688,100-H Area
0,0,577800,151678.2344,100-H Area
0,0,577753.6875,151679.125,100-H Area
0,0,577751.1875,151678.4531,100-H Area
0,0,577748.3125,151678.2188,100-H Area
0,0,577745.9375,151678.2656,100-H Area
0,0,577743.4375,151678.3125,100-H Area
1,0,572770.9375,151724.9688,100-D/DR Area
1,0,572839.125,151786.6094,100-D/DR Area
1,0,572887.0625,151781.5313,100-D/DR Area
1,0,572905.875,151798.6719,100-D/DR Area
1,0,572971.625,151858.5469,100-D/DR Area
1,0,573056.9375,151935.3594,100-D/DR Area
1,0,573131.375,152001.8594,100-D/DR Area
1,0,573137,152006.8906,100-D/DR Area
1,0,573159.6875,152026.5625,100-D/DR Area
1,0,573208.0625,152069.2031,100-D/DR Area
1,0,573241.5,152098.4688,100-D/DR Area
1,0,573286.25,152136.7188,100-D/DR Area
1,0,573289,152139.1563,100-D/DR Area
1,0,573302.125,152150.7188,100-D/DR Area
1,0,573316.5625,152163.3438,100-D/DR Area
1,0,573331.5,152176.5469,100-D/DR Area
1,0,573349.0625,152191.875,100-D/DR Area
1,0,573365.125,152205.2813,100-D/DR Area
1,0,573381.0625,152218.9844,100-D/DR Area
1,0,573394.25,152230.7813,100-D/DR Area
1,0,573409.25,152243.8594,100-D/DR Area
1,0,573424.5,152257,100-D/DR Area
1,0,573438.0625,152268.7031,100-D/DR Area
1,0,573452.875,152281.3281,100-D/DR Area
1,0,573467.6875,152293.5781,100-D/DR Area
1,0,573480.25,152303.8594,100-D/DR Area
1,0,573493.3125,152316.2969,100-D/DR Area
1,0,573501.9375,152323.6563,100-D/DR Area
1,0,573509.6875,152331.4688,100-D/DR Area
1,0,573520,152341.2813,100-D/DR Area
1,0,573531.625,152352.9219,100-D/DR Area
1,0,573541.9375,152363.5781,100-D/DR Area
1,0,573548.625,152369.0156,100-D/DR Area
1,0,573556.4375,152377.7188,100-D/DR Area
1,0,573563.875,152384.3438,100-D/DR Area
1,0,573565.5,152385.5938,100-D/DR Area
1,0,573574.1875,152391.4375,100-D/DR Area
1,0,573575.875,152392.4063,100-D/DR Area
1,0,573583.1875,152396.0625,100-D/DR Area
1,0,573585.375,152396.9531,100-D/DR Area
1,0,573593,152399.3594,100-D/DR Area
1,0,573594.875,152399.8125,100-D/DR Area
1,0,573605.4375,152401.7188,100-D/DR Area
1,0,573607.625,152401.9531,100-D/DR Area
1,0,573620.1875,152402.3125,100-D/DR Area
1,0,573633.1875,152402.5469,100-D/DR Area
1,0,573647.375,152402.625,100-D/DR Area
1,0,573659.5,152402.6563,100-D/DR Area
1,0,573673.8125,152402.625,100-D/DR Area
1,0,573676.375,152402.6719,100-D/DR Area
1,0,573692.9375,152402.875,100-D/DR Area
1,0,573695.4375,152402.8906,100-D/DR Area
1,0,573721.1875,152402.8281,100-D/DR Area
1,0,573749.5625,152403.2813,100-D/DR Area
1,0,573775.8125,152402.9688,100-D/DR Area
1,0,573803.6875,152403.2031,100-D/DR Area
1,0,573838.9375,152403.1563,100-D/DR Area
1,0,573876.625,152403.2813,100-D/DR Area
1,0,573901.5,152403.3906,100-D/DR Area
1,0,573906.5625,152403.4063,100-D/DR Area
1,0,573909.9375,152403.4219,100-D/DR Area
1,0,573956.9375,152403.6094,100-D/DR Area
1,0,573999.3125,152403.625,100-D/DR Area
1,0,574059.5,152403.6406,100-D/DR Area
1,0,574117.75,152403.9219,100-D/DR Area
1,0,574200.0625,152403.625,100-D/DR Area
1,0,574207.625,152403.6094,100-D/DR Area
1,0,574243.1875,152403.4844,100-D/DR Area
1,0,574273.6875,152403.6094,100-D/DR Area
1,0,574308.0625,152403.7969,100-D/DR Area
1,0,574333.375,152403.8281,100-D/DR Area
1,0,574367.4375,152403.9219,100-D/DR Area
1,0,574377.875,152403.9688,100-D/DR Area
1,0,574388.125,152404.0156,100-D/DR Area
1,0,574394.5,152404.0469,100-D/DR Area
1,0,574427.0625,152403.9844,100-D/DR Area
1,0,574467.9375,152404.3906,100-D/DR Area
1,0,574499.8125,152404.4375,100-D/DR Area
1,0,574535.4375,152404.4688,100-D/DR Area
1,0,574536.875,152404.4688,100-D/DR Area
1,0,574538.5625,152404.4531,100-D/DR Area
1,0,574539.625,152404.4375,100-D/DR Area
1,0,574540.8125,152404.375,100-D/DR Area
1,0,574541.9375,152404.2969,100-D/DR Area
1,0,574543.6875,152404.1406,100-D/DR Area
1,0,574544.75,152404.0156,100-D/DR Area
1,0,574546.0625,152403.8125,100-D/DR Area
1,0,574547.4375,152403.5469,100-D/DR Area
1,0,574548.8125,152403.2188,100-D/DR Area
1,0,574550,152402.8594,100-D/DR Area
1,0,574551.375,152402.4063,100-D/DR Area
1,0,574552.8125,152401.8594,100-D/DR Area
1,0,574554.3125,152401.2969,100-D/DR Area
1,0,574555.3125,152400.875,100-D/DR Area
1,0,574556.375,152400.4219,100-D/DR Area
1,0,574557.5,152399.9219,100-D/DR Area
1,0,574558.625,152399.3594,100-D/DR Area
1,0,574559.875,152398.7344,100-D/DR Area
1,0,574560.9375,152398.125,100-D/DR Area
1,0,574562,152397.5313,100-D/DR Area
1,0,574563.0625,152396.8594,100-D/DR Area
1,0,574564.1875,152396.1094,100-D/DR Area
1,0,574565.4375,152395.25,100-D/DR Area
1,0,574566.6875,152394.2656,100-D/DR Area
1,0,574567.75,152393.2969,100-D/DR Area
1,0,574568.75,152392.375,100-D/DR Area
1,0,574569.6875,152391.4375,100-D/DR Area
1,0,574570.5625,152390.5156,100-D/DR Area
1,0,574571.3125,152389.6094,100-D/DR Area
1,0,574572.0625,152388.7188,100-D/DR Area
1,0,574572.8125,152387.7656,100-D/DR Area
1,0,574573.5625,152386.7656,100-D/DR Area
1,0,574574.1875,152385.7656,100-D/DR Area
1,0,574574.875,152384.7969,100-D/DR Area
1,0,574575.4375,152383.875,100-D/DR Area
1,0,574576.0625,152382.7813,100-D/DR Area
1,0,574576.5625,152381.8594,100-D/DR Area
1,0,574577.125,152380.8281,100-D/DR Area
1,0,574577.75,152379.6563,100-D/DR Area
1,0,574578.3125,152378.3594,100-D/DR Area
1,0,574578.9375,152376.9219,100-D/DR Area
1,0,574579.5,152375.25,100-D/DR Area
1,0,574580.0625,152373.4688,100-D/DR Area
1,0,574580.375,152371.8906,100-D/DR Area
1,0,574580.625,152370.5313,100-D/DR Area
1,0,574580.8125,152369.375,100-D/DR Area
1,0,574581.0625,152367.5156,100-D/DR Area
1,0,574581.25,152366.4688,100-D/DR Area
1,0,574581.375,152365.4219,100-D/DR Area
1,0,574581.5,152364.3594,100-D/DR Area
1,0,574581.5625,152363.3281,100-D/DR Area
1,0,574581.6875,152362.3125,100-D/DR Area
1,0,574581.75,152361.1719,100-D/DR Area
1,0,574581.8125,152360.0313,100-D/DR Area
1,0,574581.875,152358.9531,100-D/DR Area
1,0,574581.9375,152357.125,100-D/DR Area
1,0,574581.9375,152355.375,100-D/DR Area
1,0,574582.4375,152333.0313,100-D/DR Area
1,0,574582.375,152310.4844,100-D/DR Area
1,0,574582.5,152289.8125,100-D/DR Area
1,0,574582.75,152264.9688,100-D/DR Area
1,0,574582.9375,152239.125,100-D/DR Area
1,0,574582.875,152204.8594,100-D/DR Area
1,0,574583,152171.1406,100-D/DR Area
1,0,574582.9375,152152.0469,100-D/DR Area
1,0,574582.9375,152149.8906,100-D/DR Area
1,0,574583.1875,152100.0625,100-D/DR Area
1,0,574583.1875,152094.7344,100-D/DR Area
1,0,574583.25,152064,100-D/DR Area
1,0,574583.6875,152038.2813,100-D/DR Area
1,0,574583.8125,152012.1719,100-D/DR Area
1,0,574583.75,151987.3438,100-D/DR Area
1,0,574583.6875,151964.4844,100-D/DR Area
1,0,574583.75,151934.4531,100-D/DR Area
1,0,574583.875,151909.5938,100-D/DR Area
1,0,574584.0625,151881.9375,100-D/DR Area
1,0,574584.1875,151853.7344,100-D/DR Area
1,0,574584.1875,151823.625,100-D/DR Area
1,0,574584.375,151791.9063,100-D/DR Area
1,0,574584.5625,151766.4375,100-D/DR Area
1,0,574584.75,151742.4063,100-D/DR Area
1,0,574584.8125,151736.5938,100-D/DR Area
1,0,574584.8125,151731.5781,100-D/DR Area
1,0,574584.875,151711.8438,100-D/DR Area
1,0,574584.8125,151683.8906,100-D/DR Area
1,0,574584.875,151648.5,100-D/DR Area
1,0,574585.125,151601.7188,100-D/DR Area
1,0,574585.1875,151600.0156,100-D/DR Area
1,0,574585.25,151553.7344,100-D/DR Area
1,0,574585.3125,151523.6094,100-D/DR Area
1,0,574585.25,151498.875,100-D/DR Area
1,0,574585.1875,151477.2344,100-D/DR Area
1,0,574585.4375,151445.7188,100-D/DR Area
1,0,574585.5,151420.6094,100-D/DR Area
1,0,574585.5,151388.2969,100-D/DR Area
1,0,574585.375,151360.6094,100-D/DR Area
1,0,574585.5625,151333.7031,100-D/DR Area
1,0,574585.75,151309.125,100-D/DR Area
1,0,574585.625,151274.6094,100-D/DR Area
1,0,574585.8125,151252.4688,100-D/DR Area
1,0,574585.6875,151210.3281,100-D/DR Area
1,0,574586.1875,151145.2969,100-D/DR Area
1,0,574586.0625,151134.4063,100-D/DR Area
1,0,574586.0625,151123.5781,100-D/DR Area
1,0,574586.125,151112.75,100-D/DR Area
1,0,574586.3125,151101.5313,100-D/DR Area
1,0,574586.25,151100.3906,100-D/DR Area
1,0,574586.375,151078.1563,100-D/DR Area
1,0,574586.5,151034.3281,100-D/DR Area
1,0,574586.4375,151023.1875,100-D/DR Area
1,0,574586.5,151012.0938,100-D/DR Area
1,0,574586.5625,151000.9844,100-D/DR Area
1,0,574586.6875,150989.625,100-D/DR Area
1,0,574586.5625,150972.7031,100-D/DR Area
1,0,574586.5625,150955.8281,100-D/DR Area
1,0,574586.6875,150938.9375,100-D/DR Area
1,0,574586.8125,150921.8125,100-D/DR Area
1,0,574586.8125,150916.3125,100-D/DR Area
1,0,574586.8125,150912.25,100-D/DR Area
1,0,574586.8125,150908.1875,100-D/DR Area
1,0,574586.8125,150896.25,100-D/DR Area
1,0,574586.8125,150883.4063,100-D/DR Area
1,0,574586.8125,150874.5156,100-D/DR Area
1,0,574586.8125,150855.1719,100-D/DR Area
1,0,574586.6875,150816.5156,100-D/DR Area
1,0,574586.6875,150806.9375,100-D/DR Area
1,0,574586.625,150797.375,100-D/DR Area
1,0,574586.5625,150787.7969,100-D/DR Area
1,0,574586.5,150778.2656,100-D/DR Area
1,0,574586.375,150776.5313,100-D/DR Area
1,0,574585.8125,150772.0469,100-D/DR Area
1,0,574585.5,150770.4063,100-D/DR Area
1,0,574584.4375,150766,100-D/DR Area
1,0,574583.9375,150764.4063,100-D/DR Area
1,0,574582.4375,150760.1406,100-D/DR Area
1,0,574581.75,150758.6094,100-D/DR Area
1,0,574579.75,150754.5469,100-D/DR Area
1,0,574578.625,150752.6094,100-D/DR Area
1,0,574576.375,150749.3906,100-D/DR Area
1,0,574575.25,150747.9844,100-D/DR Area
1,0,574572.625,150745.0625,100-D/DR Area
1,0,574571.375,150743.7969,100-D/DR Area
1,0,574568.4375,150741.2031,100-D/DR Area
